kind,price,pivot_bar,pivot_time,confirmed_bar,confirmed_at,delay_bars,basis
high,484.15,155,2023-05-19T11:50:00,157,2023-05-19T11:52:00,2,close
low,470.0,156,2023-05-19T11:51:00,158,2023-05-19T11:53:00,2,close
low,455.7,161,2023-05-19T11:56:00,163,2023-05-19T11:58:00,2,close
low,435.55,166,2023-05-19T12:01:00,168,2023-05-19T12:03:00,2,close
high,448.55,168,2023-05-19T12:03:00,170,2023-05-19T12:05:00,2,close
low,441.2,170,2023-05-19T12:05:00,172,2023-05-19T12:07:00,2,close
high,449.6,171,2023-05-19T12:06:00,173,2023-05-19T12:08:00,2,close
high,471.95,177,2023-05-19T12:12:00,179,2023-05-19T12:14:00,2,close
low,470.2,179,2023-05-19T12:14:00,181,2023-05-19T12:16:00,2,close
high,475.6,184,2023-05-19T12:19:00,186,2023-05-19T12:21:00,2,close
low,451.5,186,2023-05-19T12:21:00,188,2023-05-19T12:23:00,2,close
high,485.9,188,2023-05-19T12:23:00,190,2023-05-19T12:25:00,2,close
low,464.9,191,2023-05-19T12:26:00,193,2023-05-19T12:28:00,2,close
high,480.3,193,2023-05-19T12:28:00,195,2023-05-19T12:30:00,2,close
low,474.75,195,2023-05-19T12:30:00,197,2023-05-19T12:32:00,2,close
high,521.2,200,2023-05-19T12:35:00,202,2023-05-19T12:37:00,2,close
low,502.9,202,2023-05-19T12:37:00,204,2023-05-19T12:39:00,2,close
high,537.2,205,2023-05-19T12:40:00,207,2023-05-19T12:42:00,2,close
low,504.0,207,2023-05-19T12:42:00,209,2023-05-19T12:44:00,2,close
high,509.5,211,2023-05-19T12:46:00,213,2023-05-19T12:48:00,2,close
low,474.45,214,2023-05-19T12:49:00,216,2023-05-19T12:51:00,2,close
high,489.45,217,2023-05-19T12:52:00,219,2023-05-19T12:54:00,2,close
low,474.35,219,2023-05-19T12:54:00,221,2023-05-19T12:56:00,2,close
high,486.45,223,2023-05-19T12:58:00,225,2023-05-19T13:00:00,2,close
low,453.6,229,2023-05-19T13:04:00,231,2023-05-19T13:06:00,2,close
low,447.6,232,2023-05-19T13:07:00,234,2023-05-19T13:09:00,2,close
high,489.4,238,2023-05-19T13:13:00,240,2023-05-19T13:15:00,2,close
low,444.15,241,2023-05-19T13:16:00,243,2023-05-19T13:18:00,2,close
high,459.55,243,2023-05-19T13:18:00,245,2023-05-19T13:20:00,2,close
high,459.45,247,2023-05-19T13:22:00,249,2023-05-19T13:24:00,2,close
low,456.85,249,2023-05-19T13:24:00,251,2023-05-19T13:26:00,2,close
low,468.9,253,2023-05-19T13:28:00,255,2023-05-19T13:30:00,2,close
high,480.4,256,2023-05-19T13:31:00,258,2023-05-19T13:33:00,2,close
low,476.0,258,2023-05-19T13:33:00,260,2023-05-19T13:35:00,2,close
high,506.9,266,2023-05-19T13:41:00,268,2023-05-19T13:43:00,2,close
low,482.2,269,2023-05-19T13:44:00,271,2023-05-19T13:46:00,2,close
high,499.05,272,2023-05-19T13:47:00,274,2023-05-19T13:49:00,2,close
low,462.1,278,2023-05-19T13:53:00,280,2023-05-19T13:55:00,2,close
low,377.25,291,2023-05-19T14:06:00,293,2023-05-19T14:08:00,2,close
high,424.4,298,2023-05-19T14:13:00,300,2023-05-19T14:15:00,2,close
low,363.5,301,2023-05-19T14:16:00,303,2023-05-19T14:18:00,2,close
high,377.15,303,2023-05-19T14:18:00,305,2023-05-19T14:20:00,2,close
low,357.45,304,2023-05-19T14:19:00,306,2023-05-19T14:21:00,2,close
high,366.8,310,2023-05-19T14:25:00,312,2023-05-19T14:27:00,2,close
low,355.5,312,2023-05-19T14:27:00,314,2023-05-19T14:29:00,2,close
high,369.0,314,2023-05-19T14:29:00,316,2023-05-19T14:31:00,2,close
high,374.35,317,2023-05-19T14:32:00,319,2023-05-19T14:34:00,2,close
low,364.05,318,2023-05-19T14:33:00,320,2023-05-19T14:35:00,2,close
low,345.9,322,2023-05-19T14:37:00,324,2023-05-19T14:39:00,2,close
high,351.0,323,2023-05-19T14:38:00,325,2023-05-19T14:40:00,2,close
low,321.65,328,2023-05-19T14:43:00,330,2023-05-19T14:45:00,2,close
low,309.25,333,2023-05-19T14:48:00,335,2023-05-19T14:50:00,2,close
high,334.65,340,2023-05-19T14:55:00,342,2023-05-19T14:57:00,2,close
low,314.8,342,2023-05-19T14:57:00,344,2023-05-19T14:59:00,2,close
high,332.85,346,2023-05-19T15:01:00,348,2023-05-19T15:03:00,2,close
low,302.5,349,2023-05-19T15:04:00,351,2023-05-19T15:06:00,2,close
low,259.7,359,2023-05-19T15:14:00,361,2023-05-19T15:16:00,2,close
high,268.95,360,2023-05-19T15:15:00,362,2023-05-19T15:17:00,2,close
low,247.15,365,2023-05-19T15:20:00,367,2023-05-19T15:22:00,2,close
high,262.0,367,2023-05-19T15:22:00,369,2023-05-19T15:24:00,2,close
low,259.0,370,2023-05-19T15:25:00,372,2023-05-19T15:27:00,2,close
high,263.85,371,2023-05-19T15:26:00,373,2023-05-19T15:28:00,2,close
